ID,TEXT,MATCHING_RULES
21,"RT @Coinimparator: Madem yüz güldüreceğiz daha doğru yapalım😊
Piyasanın kırmızı haline moral olması adına sadece bu twitimi beğenip + RT at…",bitcoin OR btc
22,Daily Airdrops &amp; Giveaways in the Channel of Bitcoin Plus (XBC) https://t.co/ViBUYr7Tsu,bitcoin OR btc
23,"@BluesparrowC @gate_io @BlueSparrowETH You say you’re willing to gain wealth
but you know nothing about #bluesparrow
but you know, now
#bluesparrow  🚀🔥
#Charity
#bitcoin
#KYC
#Renounce
@BlueSparrowETH  💯
Hfòff https://t.co/nLTdcOC2R3",bitcoin OR btc
24,RT @AltcoinGordon: Looks like bitcoin is safe (for now) https://t.co/bJ5ThtvC6s,bitcoin OR btc
25,RT @TheCryptoLark: C'mon #bitcoin! https://t.co/EhmOcrKyvn,bitcoin OR btc
26,@MMCrypto lol,ethereum OR eth
27,"RT @_Adammayer: Ey guys!! SHILL me your #Crypto GEMS💎🔥
👇👇

#Memecoin #BabyDoge #SolanaAirdrop #doge #NFTGiveaway #Binance #dogecoin #Bitcoi…",bitcoin OR btc
28,"@Yourpop8 Share the gift of happiness with BlueSparrow and change a person's life this Random Act of Kindness Day
#ethereum gifts daily with our draws 
#RandomActsofKindnessDay #RandomActsOfKindness #bluesparrow @BluesparrowC https://t.co/hDelQ37CAt",ethereum OR eth
29,@C_Bendiksen @intel @decryptmedia Clinical but necessary takedown,bitcoin OR btc
30,@CoinMarketCap #WhaleKing will make all of YOU millionaires!💯,bitcoin OR btc
31,"Ukraine Legalises Bitcoin And Other Cryptocurrencies https://t.co/WXKVsALSiX February 17, 2022 at 02:26PM #CryptoCurrency",bitcoin OR btc
32,"RT @sebinternet86: #BabyDogeCoin listed on @HuobiGlobal !! 
Together we are stronger !! 

 @elonmusk @BabyDogeCoin #BabyDogeArmy  #cryptocu…",bitcoin OR btc
33,RT @Eisaking10: @CoinMarketCap Scammers..... You can hear the sound of our wolves breathing behind you. There is little time left before yo…,ethereum OR eth
34,@Bitcoin I am not surprised that above $42.5k is leading this. A lot of people vote with their position rather than what makes sense I think….,bitcoin OR btc
35,"@BluesparrowC @gate_io @BlueSparrowETH You say you’re willing to gain wealth
but you know nothing about #bluesparrow
but you know, now
#bluesparrow  🚀🔥
#Charity
#bitcoin
#KYC
#Renounce
@BlueSparrowETH  💯
Hreo",bitcoin OR btc
36,"RT @zeynepdenbiri: #Bitcoin 40.500 altı en yakın destek 39.000$.

40.500 altı kapanışlarda bu bölge takibimde olacak.",bitcoin OR btc
37,"RT @Coinimparator: Madem yüz güldüreceğiz daha doğru yapalım😊
Piyasanın kırmızı haline moral olması adına sadece bu twitimi beğenip + RT at…",bitcoin OR btc
38,Excellent project 👍 https://t.co/ftGNHswnVI,bitcoin OR btc
39,"RT @sDanieleGalipo: Hello everyone!💪🔥

Tell me in the comments .. If I sent you 1,000 USDT, what coin would you buy? 

#cryptocurrency #BSC…",bitcoin OR btc
40,@TarperNFTS 0x7E75f1a11B4f89E7Bee547DaDb1A6f195727174c,ethereum OR eth
41,"@NFTfafafa @the_breadheads @ethereum_yyds 可以 很可爱
@XiaoJiuJiu88 
@luckyy2022 
@chjdczn",ethereum OR eth
42,"RT @metaverseniz: 30.000 #RACA
100 #CEEK 

RT + BEĞENİ 🖤
Takip : @coindoktorunuz 

#Bitcoin #Airdrop #altcoin",bitcoin OR btc
43,"RT @iRomanEnzo: GM #NFTfamily  !
My new NFT project available on @withFND  🤩
This is the first part of the interactive series Pilgrim. 
htt…",ethereum OR eth
44,"RT @Kharmilol: Look at this crazy video and tell me...

Did this NFT collection created by a 16-year old inspire the Bored Ape Yacht Club?…",ethereum OR eth
45,"RT @LoveswapDEX: 💖25,000 FREE LOVESWAP TOKEN AIRDROP💖 

Loveswap is a Multi-Blockchain DEX Network launching on Avalanche, Ethereum, BSC &amp;…",ethereum OR eth
46,"RT @sabrinartnss: Guys, this piece from my collection ‘Expressions of the light’ is available on @opensea.

0.8 $ETH

I appreciate your sup…",ethereum OR eth
47,"RT @_Crypto_Pirate_: $SOUL @wildcardp2e can't wait to play #wildcardgame !! People often say that motivation doesn’t last. Well, neither do…",ethereum OR eth
48,@lcnodias Promote it at @Nft_Metaverse__,ethereum OR eth
49,"Bitcoin'i eleştirdi! İşte tavsiyesi
#Bitcoin #kriptopara #BTC #BTCUSD 
https://t.co/XOB3uY8Bye",bitcoin OR btc
50,"@PennyCoinReal @RominaKumar2 @Davidtatus @PennyCoinReal 
Website.https://t.co/WePAVEmjZU
610Holder
1400 Members TELEGRAM
https://t.co/ZjGrr9XsXi
https://t.co/QehkRpS1gJ
https://t.co/XHcmKeWQhL
https://t.co/lCfjBIsbd1
and this only in pre-sale phase imagine in 2 months https://t.co/EeSWhfpjd5",ethereum OR eth
51,"RT @AirdropStario: 💧 Starlight Airdrop 💧

🏆 Task:          ➕ 100 NEUM (~$10) for 5000 random participants each.

👨‍👩‍👧 Referral:   ➕  500 N…",bitcoin OR btc
52,"RT @sDanieleGalipo: Hello everyone!💪🔥

Tell me in the comments .. If I sent you 1,000 USDT, what coin would you buy? 

#cryptocurrency #BSC…",bitcoin OR btc
53,"RT @CryptoEights: 🔹 TOP TRENDING SEARCHES #Coinmarketcap! 18 February 2022
@trondao $TRX
@truechaingroup $TRUE
@GamingShibaBSC #GamingShiba…",bitcoin OR btc
54,RT @BTC_Archive: 💥MASTERCARD is expanding its #Bitcoin &amp; crypto consulting teams to accelerate adoption.,bitcoin OR btc
55,"RT @mehmet33104378: 10 kişiye XIAOMI Mi 10 lite 5G 
sonuclar 15:30 da açiklanicak

✅TAKİP ET 
❤ beğen 
🔃 YAP 
💬 1 kişi etiketle

#Binance #…",ethereum OR eth
56,"@RachBlevins @natbrunell We don't  buy bitcoin
We earn bitcoin From Mining 
I'm ready to show 10 lucky people how to earn 0.1BTC ($4,000) and more daily!
No referral 
No withdrawal fees
If interested, kindly send a DM",bitcoin OR btc
57,"RT @NFTfafafa: 很高兴与项目 @the_breadheads面包人达成合作！
搞漫画，空投，当头像很好看这次合作给大家带50个白名单由官方抽取
 1.点赞，转推，@你的三个朋友
 2.关注 @the_breadheads, @ethereum_yyds 
@NFT…",ethereum OR eth
58,RT @fctyuh: @Jellystone99 @Bitcoin They only jump out and act like clowns when BTC goes down.,bitcoin OR btc
59,"RT @RtradeCn: #Bitcoin ve Altcoin cephesinde KRİTİK SEVİYELERDEYİZ

Çok önemli bir destekteyiz.
Mal toplanacak destek olduğu gibi kırılınca…",bitcoin OR btc
60,"RT @airdropinspect: New airdrop: Elf Matrix Round2 (EMT)
Total Reward: 76,000 EMT
Rate: ⭐️⭐️⭐️⭐️
Winners: 2,000 Random &amp; Top 200
Distributi…",bitcoin OR btc
61,@mehmet33104378 @sochi_sergey @rabiaob63342892 @everythingcoin @Giannis10017628,ethereum OR eth
62,"RT @Unocoin: A crypto asset that was once thought to be invented by Satoshi Nakamoto, the founder of Bitcoin. Spot all the difference for M…",bitcoin OR btc
63,"RT @coin68: Chủ tịch SEC khẳng định không muốn phê duyệt bất kỳ quỹ ETF Bitcoin giao ngay nào hiện tại

Động lực hiếm hoi cuối cùng được kỳ…",bitcoin OR btc
64,RT @SauceSports2: $SOUL #wildcardgame @wildcardp2e - sounds like best crypto game !! Great Stuff !! Change the world by being yourself. #et…,ethereum OR eth
65,"@Ralvero Web 3.0 is all about a more transparent and fairer network where everyone can participate without fearing a loss of privacy and security, Touch the web3 with #bluesparrow
#ETH
#BlueSparrow
#BlueSparrowtoken
#bitcoin
@BlueSparrowETH💯💯📈 https://t.co/QTRnssLJiM",bitcoin OR btc
66,"@MMCrypto Hey Chris, check your DM",ethereum OR eth
67,@cosmosofbitcoin Thanks Satoshi to not Bend the kneel,bitcoin OR btc
68,"@AirdropDet Fantastic project with great potential.  The team's dedication and ingenuity with excellent fan support will make this the envy of the crypto world.Glad to be part.
@taniksha_chawla 
@Erfiyaznaik1213 
@kumer_sanjit 
@sabbir_prodan",bitcoin OR btc
69,"RT @AirdropStario: 💧 Bitshitcoin Airdrop 💧

🏆 Task:          ➕ Up to $4 worth of BTS

👨‍👩‍👧 Referral:   ➕  $0.25 worth of BTS

🔛 Airdrop Li…",bitcoin OR btc
70,"RT @888Velvet: #bitcoin

🟡 skittles https://t.co/cBLHjIDBER",bitcoin OR btc
71,"RT @Orgonx22: 🚨 launch date 18/02 get ready

We will launch the PRE-ICO purchase of the ORGX Token on the official website ... www.
🌐 Where…",ethereum OR eth
72,@RtradeCn eyvallah kral,bitcoin OR btc
73,"RT @NFTfafafa: 很高兴与项目 @the_breadheads面包人达成合作！
搞漫画，空投，当头像很好看这次合作给大家带50个白名单由官方抽取
 1.点赞，转推，@你的三个朋友
 2.关注 @the_breadheads, @ethereum_yyds 
@NFT…",ethereum OR eth
74,"RT @NeilJacobs: Are you ready for Miami!!!

Today is the last day you can get your ticket to bitcoin 2022 before prices go up by $100!

Use…",bitcoin OR btc
75,"#Wyoming eyaletinden #ABD Senatörü #CynthiaLummis Federal Rezerv bilançosunda #bitcoin tutması gerektiğini önerdi.

https://t.co/l47iiKnUtB",bitcoin OR btc
76,"Celo Dex.
The First DEX with 3 types referral system and the lowest swap fees on CELO
https://t.co/QhytKi0dDM

#celodex #DeFi #farming #CELO #CryptoNews #Bitcoin https://t.co/aAoSLFQiSa",bitcoin OR btc
77,"@jnordvig Uh.. you have two different axis, you could have made this look any which way. How about putting them on a percent scale and zoom out a bit. The divergence is real.",bitcoin OR btc
78,"RT @AnbroNFT: Drop your Ethereum address.  Randomly drop NFT  🔥
       
☑️ Just Retweet + Follow",ethereum OR eth
79,"Trending on #LunarCrush:

""Ukraine Legalizes Bitcoin"" via @CryptoPanicCom

Top coin mentions
$btc

https://t.co/SWhVB09kn5",bitcoin OR btc
80,"Hello everyone ! here in The Netherlands, preparing for #Eunice 🥴 In the meantime, check my work at #opensea https://t.co/XbqMsiLib4
#NFTartist #NFTCollection #NFTCommumity #Ethereum #abstractnft #NFTs #FolloForFolloBack",ethereum OR eth
81,RT @BluesparrowC: @gate_io Web 3.0 is all about a more transparent and fairer network where everyone can participate without fearing a loss…,bitcoin OR btc
82,@BigCheds we need a big CHEDS UPDATE !!!,bitcoin OR btc
83,"RT @AirdropStario: 💧 Joker Metaverse Airdrop 💧

🏆 Task:          ➕ Up to 500 JKRC (~$25)

👨‍👩‍👧 Referral:   ➕  50 JKRC (~$2.5)

🔛 Airdrop L…",bitcoin OR btc
84,"RT @airdropinspect: New airdrop: Arcade (USDT)
Total Reward: 2,000 USDT
Rate: ⭐️⭐️⭐️⭐️⭐️
Winners: 700 Random &amp; Top 50
Distribution: within…",bitcoin OR btc
85,@btcturk @vrl_tr https://t.co/sZisB57YjB,bitcoin OR btc
86,"this project is very good and this projector has a lot of attractions, so hopefully the project will be better in the future and the cryptocurrency will be the best. 
@Sweety08524702 
@Nahin_ebna 
@mhsaimon77 https://t.co/JsDkgpuohf",bitcoin OR btc
87,@TNSOCIETI @opensea Promote it on @NftCrypto_space,ethereum OR eth
88,"RT @kellershiller: • To change your life, you can't keep doing the same things. 😜

be different 😎

GM guys! 

——
#Bitcoin #Binance #100XGEM…",ethereum OR eth
89,Promote it on @CharismaNfts https://t.co/lbdZ4bnevI,ethereum OR eth
90,@mehmet33104378 @bonggakabhie,ethereum OR eth
91,"RT @LunarCrush: Top 10 Coins by social volume over the last 24 hrs on #LunarCrush!

$btc #bitcoin
$eth #ethereum
$shib #shibainu
$cake #pan…",ethereum OR eth
92,"RT @AirdropStario: 💧 Space Launcher Airdrop 💧

🏆 Task:          ➕ 9,2 SPLR for 20,000 random participants

👨‍👩‍👧 Referral:   ➕ 80 SPLR for…",bitcoin OR btc
93,@WSGTokenTurkey @criptoexper @WSGToken #vEmpire is the only project which can gives you 10 to 20 times profit in the dip market. You just buy the $VEMP token in the dip and sell in the high market. @vempiredigital makes it easy for you.,bitcoin OR btc
94,"RT @BluesparrowC: @Whalesincoming Great coins are not born great, 
they grow great like #bluesparrow
#bluesparrow  🚀🔥
#Charity
#bitcoin
#KY…",bitcoin OR btc
95,"RT @CyrptoGizem: Hızlı Çekiliş! 🎉

İki kişiye 300₺ 💸

Takip et -
@kurdu_bitcoin &amp; @KriptoMelo

RT🔄 &amp; FAV🤍 

Akşam 21:00 da açıklarım.☑️
#Bi…",bitcoin OR btc
96,RT @BluesparrowC: @MEXC_Global @bridgenetwork0x The future of cryptocurrency belongs to those tokens who believe in the power of their comm…,bitcoin OR btc
97,@sweetburgercom https://t.co/HyIWu4sXlP it will get better after you join dman crypto signals,bitcoin OR btc
98,"RT @Rager: Some of you new in crypto complaining about Bitcoin price action

Should have been here in 2018

- Straight downtrend for 9 mont…",bitcoin OR btc
99,@MrktMeditations POLYGON  SUPER 📊✅ MATIC Giveawaay @MATlC_B0NUS,bitcoin OR btc
100,"@NFTfafafa @the_breadheads @ethereum_yyds @ArunpandiNB
@0xLokey
@mynoon73816165",ethereum OR eth
101,"RT @CyrptoGizem: Hızlı Çekiliş! 🎉

İki kişiye 300₺ 💸

Takip et -
@kurdu_bitcoin &amp; @KriptoMelo

RT🔄 &amp; FAV🤍 

Akşam 21:00 da açıklarım.☑️
#Bi…",bitcoin OR btc
102,@ParsheyLionNFT Helal olsun süper çok başarılı,ethereum OR eth
103,"@VitaminB_21 Ob 1% Inflation (dafür bräuchte es aber eine bessere Zebtralbank) oder keine macht Im Wert keinen so riesigen Unterschied. Es gibt viele gute Gründe für Bitcoin und andere Cryptowährungen, man sollte da nicht zu viel Fokus auf die Abwesenheit von Inflation legen.",bitcoin OR btc
104,@cihancarlokasal Anlatamıyorsun,bitcoin OR btc
105,"@MattStruble @JesusCrypto33 @saylor 🍀LUCKY SHINU🍀
@lucky_shinu is a #raffle token on #ERC20 that brings you the chance to win awesome #prizes every week!

Are you the next #LuckyShinu ?

https://t.co/85t6LWVUtz

#ETH #altcoin #altcoinseason #x100gems #Crypto #Cryptocurrency $LUSHI #LUSHI #LUSHIARMY #LUCKYSHINU",bitcoin OR btc
106,"@AirdropStario very strong project
i like this project
i am very excited this project
@hossen_bayazed
 
 @jacklupino85 @tnf44

#cryptocurrency #Airdrop #BSC #Bitcoin #USTD #SpaceLauncher #SPLR #Airdropstario",bitcoin OR btc
107,"@ABaradez Daily analysis Suivre le S&amp;P en debut mars,ça sera tres intéressant.
09/03/2022. (2+0+2+2 )=6
#N.teslakey9,3,6
#victorshurberger 
Implosion market. https://t.co/Kq4O0Bh91e",ethereum OR eth
108,I find this Project very good @ashlea_rickey @DuaneBerger2 @MildaMinna https://t.co/X7RIAZQarI,bitcoin OR btc
109,RT @Ali1989sirik5: @spy_wolf2020 @WatcherGuru @SpyWolfNetwork We are @SpyWolfNetwork and we are here to clean up the crypto space and to ma…,bitcoin OR btc
110,"RT @KriptoData: “Fed bilançosunda #Bitcoin tutmalı.”

— Cynthia Lummis | ABD Senatörü https://t.co/mXSfyNejux",bitcoin OR btc
111,"RT @Wairaiuiai: 🚨Alerta🚨
Se está formando en Colombia un grupo llamado Generación Zoe. Es un grupo coercitivo y también estafa piramidal co…",bitcoin OR btc
112,RT @Eisaking10: @CoinMarketCap Scammers..... You can hear the sound of our wolves breathing behind you. There is little time left before yo…,ethereum OR eth
113,@MEXC_Global @ValueFinance_ $DIOS will see significant gains in 2022 #DIOSfinance. Don't miss $DIOS #DIOSfinance inspired by #OHM. Invest in and you won't regret  #crypto #bitcoin #bsc #airdrop #staking #earnmoney #cryptocurrency #cz_binance #Diosfinance https://t.co/TYoLa9jTdV,bitcoin OR btc
114,"RT @AirdropStario: 💧 Space Launcher Airdrop 💧

🏆 Task:          ➕ 9,2 SPLR for 20,000 random participants

👨‍👩‍👧 Referral:   ➕ 80 SPLR for…",bitcoin OR btc
115,"RT @airdropinspect: New airdrop: Elf Matrix Round2 (EMT)
Total Reward: 76,000 EMT
Rate: ⭐️⭐️⭐️⭐️
Winners: 2,000 Random &amp; Top 200
Distributi…",bitcoin OR btc
116,"RT @Coinimparator: Madem yüz güldüreceğiz daha doğru yapalım😊
Piyasanın kırmızı haline moral olması adına sadece bu twitimi beğenip + RT at…",bitcoin OR btc
117,"RT @LoveswapDEX: 💖25,000 FREE LOVESWAP TOKEN AIRDROP💖

Loveswap is a Multi-Blockchain DEX Network launching on Avalanche, Ethereum, BSC &amp; T…",ethereum OR eth
118,"#DE30 TRADE WITH de30 QUEEEN 👸

📉SELL AT :15254.45

❌STOP LOSS:15338.34

✅TAKE PROFIT:15148.96

⚠️LOT SIZE : ACCORDING TO YOUR EQUITY.

Enjoy your profit but consider your budge before you open trade you may experience huge loss

.
#forex #money #trading #XAUUSD #bitcoin https://t.co/VzY6oFvB1A",bitcoin OR btc
119,"RT @DancingDeerNFT: 🎁MEGA #NFT &amp; BUSD #Giveaway🎁

🎁1x 20 $BUSD🤑

1x @ZomNFT🧟‍♂️
1x @SolCats44🐱
1x @SolanaBulldogs🐕
1x @TFFranchise🐶
1x @The…",ethereum OR eth
120,"@GRDecter First time I've ever heard a female refer to gold as ugly, must have been an awfully sad day when you emptied out your jewelry box.",bitcoin OR btc
121,@cositortoOOC Que está sucediendo con la moneda ?,bitcoin OR btc
122,Requesting faucet funds into 0x5915729F898B09172F50f346FaBC7Ea1f102000F on the #Rinkeby #Ethereum test network.,ethereum OR eth
123,"RT @yenotonft: https://t.co/ItK4Q2a6OF 

#KanyeWest #Ethereum #NFT #OpenSeaNFT #ElonMusk",ethereum OR eth
124,"RT @Coinimparator: Madem yüz güldüreceğiz daha doğru yapalım😊
Piyasanın kırmızı haline moral olması adına sadece bu twitimi beğenip + RT at…",bitcoin OR btc
125,@GlvMnr Un tio que sabe,bitcoin OR btc
126,"RT @arsalan_khadimm: 🔥Giveaway🔥
10X Tracksuit by⭐️@MrDhingia ⭐️ 

🎉🏆10X WINNERS!!!🏆🎉

to enter:
- Follow @arsalan_khadimm  + @MrDhingia 
-…",ethereum OR eth
127,"RT @CyrptoGizem: Hızlı Çekiliş! 🎉

İki kişiye 300₺ 💸

Takip et -
@kurdu_bitcoin &amp; @KriptoMelo

RT🔄 &amp; FAV🤍 

Akşam 21:00 da açıklarım.☑️
#Bi…",bitcoin OR btc
128,RT @neo_defi: What have we learned from Ethereum's history? What have we noticed from the trends that have developed in multi-chains? How h…,ethereum OR eth
129,"RT @asutokenbsc: Jangan lupa Minum #asu biar pokes menghadapi keasuan dunia.

#ASU #ASUTOKEN #BITCOIN #asix https://t.co/NjezABAlLY",bitcoin OR btc
130,"RT @moonforcetoken: JOIN MOONFORCE PUBLIC PRESALE!
TODAY AT 6PM EST (11 PM UTC)

BE A PART OF HISTORY. EARN TOKEN &amp; BNB REWARDS FROM THE FU…",ethereum OR eth
131,"RT @incredibleart0: Green Dragon VOX #0001 - Price: 0,051 ETH (Ethereum Blockchain)
#nft
#nfts
#nftart
#nftartist
#cryptoart
#digitalart
#n…",ethereum OR eth
132,"@DIMENSION_YT Ça dépend aussi des GPU dans les pc, si t'as des ordi du CDI niveau collège tu vas pas aller loin je pense",bitcoin OR btc
133,@jasonpizzino Breaking news! People in the US can buy bitcoin!!! BULLISH!!,bitcoin OR btc
134,RT @Eisaking10: @CoinMarketCap Scammers..... You can hear the sound of our wolves breathing behind you. There is little time left before yo…,ethereum OR eth
135,"RT @ChartGuys: #Litecoin getting my attention a bit the last 12H as a bounce leader. 
Must see #Bitcoin shape up a weekly higher low. 
Idea…",bitcoin OR btc
136,"RT @NftDropsCal: #NFTArt 💫  Token Friends💲

🖼 Artwork by @masonlondon 👏
💰 Sold to king_farooq for 5.0 $ETH 🪙 ($15,384.50) ✨

🌐https://t.co/…",ethereum OR eth
137,@gokhshteinmedia Good morning ☀️,bitcoin OR btc
138,"RT @Wairaiuiai: 🚨Alerta🚨
Se está formando en Colombia un grupo llamado Generación Zoe. Es un grupo coercitivo y también estafa piramidal co…",bitcoin OR btc
139,"@Archducks There will be 1,914 Archducks 
NFT on ethereum blockchain Pond DAO
Presale is Feb 20
Public sale is Feb 21
Don't be left out
Claim a whitelist spot https://t.co/Zx83992aOL",ethereum OR eth
140,"RT @mehmet33104378: 10 kişiye XIAOMI Mi 10 lite 5G 
sonuclar 15:30 da açiklanicak

✅TAKİP ET 
❤ beğen 
🔃 YAP 
💬 1 kişi etiketle

#Binance #…",ethereum OR eth
141,RT @neo_defi: What have we learned from Ethereum's history? What have we noticed from the trends that have developed in multi-chains? How h…,ethereum OR eth
142,"RT @Wowswap_io: ❤️WOWswap is now listed on @DefiLlama ❤️

🥸Track WOWswap Total Value Locked on 7 chains: #Ethereum 
#metis 
#iotex 
#BNBCha…",ethereum OR eth
143,RT @CyrptoGizem: @KriptoMelo @kurdu_bitcoin TAKİP ŞART.✅,bitcoin OR btc
144,@PancakeSwap Pretty sure #WhaleKing holders will be the biggest gainers in 2022 🐳🐳🐳 @elonmusk @cz_binance #Binance      #BSC #ETH #cryptocrash #Crypto #GameFi  #BNB      #Metaverse #Ethereum https://t.co/nL0kssKNmq,ethereum OR eth
145,"@saylor @JesusCrypto33 🍀LUCKY SHINU🍀
@lucky_shinu is a #raffle token on #ERC20 that brings you the chance to win awesome #prizes every week!

Are you the next #LuckyShinu ?

https://t.co/85t6LWVUtz

#ETH #altcoin #altcoinseason #x100gems #Crypto #Cryptocurrency $LUSHI #LUSHI #LUSHIARMY #LUCKYSHINU",bitcoin OR btc
146,"RT @DancingDeerNFT: 💎#NFT #Giveaway💎

🐰@DKRabbitClub is giving away👇

🎁1x @DKRabbitClub #NFT (150$)
🎁0.1 #SOL
🎁10 WL-spots

✅Tasks
1⃣Follow…",ethereum OR eth
147,"@anonymous_cmc 📢Hi Buddy! Check on this new #DAO with new #Blockchain with over 1M+ downloads, 350K monthly users and 4B user funds.

👉Find out more: https://t.co/rpD4cBHO4G

follow us! https://t.co/D8vnQfuq3a

#Dopamine

Dopamine | Finance 3.0
https://t.co/mDb8bcUwzp",bitcoin OR btc
148,RT @BitcoinMagazine: #Bitcoin is El Salvador’s “spirit of hope” - El Salvador's Ambassador to the U.S.  🇸🇻 https://t.co/A3xX4xphKS,bitcoin OR btc
149,"@BluesparrowC @gate_io @BlueSparrowETH You say you’re willing to gain wealth
but you know nothing about #bluesparrow
but you know, now
#bluesparrow  🚀🔥
#Charity
#bitcoin
#KYC
#Renounce
@BlueSparrowETH  💯
Hòtr https://t.co/A9IunuGiE6",bitcoin OR btc
150,Intel’s First Generation of Arc Desktop GPUs Will Launch in Q2 2022 https://t.co/jB4ihuljXi #pcgaming #PCGamer #pcgames #CryptoMining #graphicscard #GPU #GPUalert #CryptoNews #Ethereum #Bitcoin #AMD #nvidia #intel #Bitcoin #investing #investment #invest #graphiccard,ethereum OR eth
151,"RT @kellershiller: • To change your life, you can't keep doing the same things. 😜

be different 😎

GM guys! 

——
#Bitcoin #Binance #100XGEM…",ethereum OR eth
152,@dee_bosa @GarrickHileman @OneMorePeter Earn your $ETH with vEmpiredigital and earn 30% rewards in the vEmpire DDAO $VEMP $VEMP token. Plus another 15.99% in ETH! https://t.co/5nXJvV2TZm,bitcoin OR btc
153,RT @mcshane_writes: Buy #Bitcoin https://t.co/YBfDY2F0p1,bitcoin OR btc
154,"RT @Bitcoin: Why is the 🐲 such a formidable fictional character?

💪 &amp; 🧠 https://t.co/sQ3PPwUY34",bitcoin OR btc
155,"RT @TarperNFTS: Drop your #ETH wallet address, I’m going to send 5 people some #Ethereum and 5 FREE #NFTs

You must RT this &amp; my pinned | 2…",ethereum OR eth
156,"@Ralvero Web 3.0 is all about a more transparent and fairer network where everyone can participate without fearing a loss of privacy and security, Touch the web3 with #bluesparrow
#ETH
#BlueSparrow
#BlueSparrowtoken
#bitcoin
@BlueSparrowETH📈📈🔥 https://t.co/9CXIsKiVsG",bitcoin OR btc
157,@MrktMeditations POLYGON token out of competition 👑 Free Airdrop MATIC @MATlC_B0NUS,bitcoin OR btc
158,"RT @Blockworks_: In the last 6 months:

#Bitcoin: -8%
Salesforce: -18%
Netflix: -24%
Adobe: -28%
Rivian: -35%
Facebook: -40%
Shopify: -54%…",bitcoin OR btc
159,@RtradeCn Emeğinize sağlık,bitcoin OR btc
160,"@BluesparrowC @gate_io @BlueSparrowETH You say you’re willing to gain wealth
but you know nothing about #bluesparrow
but you know, now
#bluesparrow  🚀🔥
#Charity
#bitcoin
#KYC
#Renounce
@BlueSparrowETH  💯
Fdop",bitcoin OR btc
